,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Urban,Property_Rural,Property_Semiurban,Loan_Status
172,0,0,3,1,1,3522,0.0,81.0,180.0,1.0,1.0,0.0,0.0,N
474,0,1,2,0,1,5532,4648.0,162.0,360.0,1.0,1.0,0.0,0.0,Y
273,0,0,0,0,1,2620,2223.0,150.0,360.0,1.0,0.0,1.0,0.0,Y
25,0,0,0,0,0,9560,0.0,191.0,360.0,1.0,0.0,1.0,0.0,Y
411,0,0,0,0,1,6256,0.0,160.0,360.0,1.0,0.0,0.0,1.0,Y
376,0,0,3,0,1,8750,4996.0,130.0,360.0,1.0,1.0,0.0,0.0,Y
154,0,1,0,0,1,3254,0.0,50.0,360.0,1.0,0.0,0.0,1.0,Y
546,0,1,0,1,1,3358,0.0,80.0,36.0,1.0,0.0,1.0,0.0,N
545,0,0,0,0,1,2768,1950.0,155.0,360.0,1.0,1.0,0.0,0.0,Y
337,0,0,2,0,0,2500,4600.0,176.0,360.0,1.0,1.0,0.0,0.0,Y
419,0,0,0,0,1,3246,1417.0,138.0,360.0,1.0,0.0,1.0,0.0,Y
425,0,0,0,0,1,2666,4300.0,121.0,360.0,1.0,1.0,0.0,0.0,Y
607,0,0,2,1,1,3987,1411.0,157.0,360.0,1.0,1.0,0.0,0.0,Y
442,0,1,3,1,1,4707,1993.0,148.0,360.0,1.0,0.0,1.0,0.0,Y
239,0,0,1,0,1,3315,0.0,96.0,360.0,1.0,0.0,1.0,0.0,Y
485,0,0,1,1,1,1958,2436.0,131.0,360.0,1.0,1.0,0.0,0.0,Y
405,1,1,0,0,1,4547,0.0,115.0,360.0,1.0,0.0,1.0,0.0,Y
555,0,0,1,0,1,5468,1032.0,26.0,360.0,1.0,0.0,1.0,0.0,Y
87,0,0,0,0,1,2500,2118.0,104.0,360.0,1.0,0.0,1.0,0.0,Y
431,0,1,0,0,1,6500,0.0,105.0,360.0,0.0,1.0,0.0,0.0,N
59,0,0,2,1,1,3357,2859.0,144.0,360.0,1.0,0.0,0.0,1.0,Y
243,0,0,2,0,0,6250,1300.0,108.0,360.0,1.0,1.0,0.0,0.0,Y
287,0,0,0,0,1,3704,2000.0,120.0,360.0,1.0,1.0,0.0,0.0,Y
241,0,0,1,1,1,2510,1983.0,140.0,180.0,1.0,0.0,0.0,1.0,N
429,0,1,0,1,1,2717,0.0,60.0,180.0,1.0,0.0,0.0,1.0,Y
163,0,0,2,0,1,4167,1447.0,158.0,360.0,1.0,1.0,0.0,0.0,Y
